title,alcohol_reference,cartoon_violence,fantasy_violence,intense_violence,mild_fantasy_violence,mild_cartoon_violence,mild_violence,drug_reference,use_of_alcohol,use_of_drugs_and_alcohol,violence,esrb_rating
"Dangerous Driving",0,0,0,0,0,0,1,0,0,0,0,ET
"Dark Devotion",0,0,0,0,0,0,0,0,0,0,0,M
"DARK ECLIPSE",0,0,1,0,0,0,0,0,0,0,0,T
"Dark Legion",0,0,0,0,0,0,0,0,0,0,0,M
"Dark Quest 2",0,0,0,1,0,0,0,0,0,0,0,T
"Darkest Dungeon",1,1,0,0,0,0,0,0,0,0,0,T
"Darksiders 3",0,0,0,0,0,0,0,0,0,0,0,M
"Darksiders Genesis",0,0,0,0,0,0,0,0,0,0,0,T
Darkwood,0,0,0,0,0,0,0,0,0,0,0,M
"DATE A LIVE: RIO-REINCARNATION",0,0,0,0,0,0,0,0,0,0,0,M
"Daymare: 1998",0,0,0,1,0,0,0,0,0,0,0,M
"Daymare: 1998 Black Edition",0,0,0,1,0,0,0,0,0,0,0,M
"Days Gone",0,0,0,0,0,0,0,1,0,0,0,M
DayZ,0,0,0,0,0,0,0,0,0,0,0,M
"DCL - The Game",0,0,0,0,0,0,0,0,0,0,0,E
"de Blob",0,0,0,0,0,1,0,0,0,0,0,E
"de Blob 2",0,0,0,0,0,1,0,0,0,0,0,ET
"Dead Age",0,0,0,0,0,0,0,0,0,0,0,M
"Dead Ahead: Zombie Warfare",0,0,0,0,0,0,0,0,0,0,0,T
"Dead by Daylight: Nightmare Edition",0,0,0,1,0,0,0,0,0,0,0,M
"Dead Cells",0,0,0,0,0,0,0,0,0,0,0,T
"Dead Cells: Prisoners Edition",0,0,0,0,0,0,0,0,0,0,0,T
"Dead Land",0,0,0,0,0,0,0,0,0,0,0,M
"DEAD OR ALIVE 6",0,0,0,0,0,0,0,0,0,0,0,M
"DEAD OR ALIVE 6: Core Fighters",0,0,0,0,0,0,0,0,0,0,0,M
"Dead Rising 4: Franks Big Package",0,0,0,1,0,0,0,0,0,0,0,M
"Dead Secret",0,0,0,0,0,0,0,0,0,0,0,T
DEADBOLT,0,0,0,0,0,0,0,1,0,0,1,T
Deadbolt,0,0,0,0,0,0,0,1,0,0,1,T
"Death end re",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Death end re",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Death Mark",0,0,0,0,0,0,0,0,0,0,0,M
"Death Road to Canada",0,0,0,0,0,0,0,0,0,0,0,T
"Death Stranding",0,0,0,1,0,0,0,0,0,0,0,M
"Deaths Gambit",0,0,0,0,0,0,0,0,0,1,0,T
"Decay of Logos",0,0,0,0,0,0,0,0,0,0,0,T
"Deer Hunter: Reloaded",0,0,0,0,0,0,0,0,0,0,0,T
"Defenders of Ekron - Definitive Edition",0,0,0,0,0,0,0,0,0,0,0,T
"Defenders Quest: Valley of the Forgotten ",0,0,0,1,0,0,0,0,0,0,0,T
"Defenders Quest: Valley of the Forgotten (DX)",0,0,0,1,0,0,0,0,0,0,0,T
"Defenders Quest: Valley of the Forgotten DX",0,0,0,1,0,0,0,0,0,0,0,T
"Defiance 2050",0,0,0,0,0,0,0,0,0,0,0,M
Defunct,0,0,0,0,0,0,0,0,0,0,0,E
Deiland,0,0,1,0,0,0,0,0,0,0,0,ET
"Deliver Us The Moon",0,0,1,0,0,0,0,0,0,0,0,T
"Demon Gaze II",0,0,0,1,0,0,0,0,0,0,0,T
"Demons Tier+",0,0,1,0,0,0,0,0,0,0,0,ET
Deracine,0,0,1,0,0,0,0,0,0,0,0,T
Descenders,0,0,0,0,0,0,0,0,0,0,0,E
"Descent ",0,0,1,0,0,0,0,0,0,0,0,ET
"Desert Child",0,0,1,0,0,0,0,0,0,0,0,M
"Desperados III",0,0,0,0,0,0,0,0,0,0,0,M
Destiny,0,0,0,0,0,0,0,0,0,0,0,T
"Destiny 2",0,0,0,0,0,0,0,0,0,0,0,T
"Destiny 2: Beyond Light",0,0,0,0,0,0,0,0,0,0,0,T
"Destiny 2: Forsaken",0,0,0,0,0,0,0,0,0,0,0,T
"Destiny 2: New Light",0,0,0,0,0,0,0,0,0,0,0,T
"Destiny 2: Shadowkeep",0,0,0,0,0,0,0,0,0,0,0,T
"Destiny Connect: Tick-Tock Travelers",0,0,1,0,0,0,0,0,0,0,0,ET
"Destiny: Le Roi Des Corrompus",0,0,0,0,0,0,0,0,0,0,0,T
"Destiny: The Taken King",0,0,0,0,0,0,0,0,0,0,0,T
"Destroy All Humans!",0,0,0,1,0,0,0,1,0,0,0,T
Detached,0,0,1,0,0,0,0,0,0,0,0,T
"Detective Gallo",0,0,0,0,0,0,0,0,0,0,0,ET
Detention,0,0,0,0,0,0,0,0,0,0,0,M
"Detroit: Become Human",0,0,0,0,0,0,0,0,0,0,0,M
"Devil May Cry 5",0,0,0,0,0,0,0,0,0,0,0,M
"Devil May Cry HD Collection",0,0,0,0,0,0,0,0,0,0,0,M
"Devious Dungeon",0,0,0,1,0,0,0,0,0,0,0,T
"Die for Valhalla!",0,0,0,0,0,0,0,0,0,0,0,T
"Digimon Story: Cyber Sleuth - Hackers Memory",0,0,0,0,0,0,0,1,0,0,0,T
"Dimension Drive",0,0,1,0,0,0,0,0,0,0,0,ET
"DIRT 5",0,0,0,0,0,0,0,0,0,0,0,E
"DiRT Rally 2.0",0,0,0,0,0,0,0,0,0,0,0,E
"Disaster Report 4: Summer Memories",0,0,0,0,0,0,0,0,0,0,1,T
"Disco Dodgeball Remix",0,0,1,0,0,0,0,0,0,0,0,ET
Discovery,0,0,0,0,0,0,0,0,0,0,0,E
"Disgaea 1 Complete",0,0,0,1,0,0,0,0,0,0,0,T
"Disgaea 4 Complete+",0,0,1,0,0,0,0,0,1,0,0,T
Disintegration,0,0,0,0,0,0,0,0,0,0,0,T
"Disney Classic Games: Aladdin and The Lion King",0,1,0,0,0,0,0,0,0,0,0,ET
"DISSIDIA FINAL FANTASY NT",0,0,0,0,0,0,0,0,0,0,0,T
"DISSIDIA FINAL FANTASY NT Standard Edition",0,0,0,0,0,0,0,0,0,0,0,T
Distrust,0,0,0,0,0,0,0,0,0,0,0,T
"Divinity: Original Sin 2 - Definitive Edition",0,0,0,0,0,0,0,0,0,0,0,M
"DJMAX RESPECT",0,0,0,0,0,0,0,0,0,0,0,T
"DOG GONE GOLFING",0,0,0,0,0,0,0,0,0,0,0,E
Dollhouse,0,0,0,0,0,0,0,0,0,0,0,M
"Domino Craft VR",0,0,0,0,0,0,0,0,0,0,0,E
"Dont Bite Me Bro!",0,0,0,0,0,0,0,0,0,0,0,T
"DONT EVEN THINK",0,0,0,0,0,0,0,0,0,0,0,T
"Dont Knock Twice",0,0,0,0,0,0,0,0,0,0,0,M
"Donut County",0,0,0,0,1,0,0,0,0,0,0,E
"DOOM 64",0,0,0,0,0,0,0,0,0,0,0,M
"DOOM Eternal",0,0,0,1,0,0,0,0,0,0,0,M
"DOOM Slayers Collection",0,0,0,1,0,0,0,0,0,0,0,M
"DOOM VFR",0,0,0,1,0,0,0,0,0,0,0,M
"Double Dragon 4",0,0,0,0,0,0,0,0,0,0,0,ET
"Double Switch â€“ 25th Anniversary Edition",0,0,0,0,0,0,1,0,0,0,0,T
"Doug Fluties Maximum Football 2019",0,0,0,0,0,0,0,0,0,0,0,E
"Downward Spiral: Horus Station",0,0,0,0,0,0,0,0,0,0,1,T
Downwell,0,0,1,0,0,0,0,0,0,0,0,ET
"Draculas Legacy",0,0,0,0,0,0,0,0,0,0,0,T
"DRAGON BALL FighterZ",0,1,0,0,0,0,0,0,0,0,0,T
"DRAGON BALL Z: KAKAROT",0,0,0,0,0,0,0,0,0,0,0,T
"Dragon Fantasy: Volumes of Westeria",1,0,0,0,0,1,0,0,0,0,0,ET
"Dragon Quest Builders 2",1,0,1,0,0,0,1,0,0,0,0,ET
"Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition",0,0,0,1,0,1,0,0,0,0,0,T
"Dragon Quest XI: Echoes of an Elusive Age ",0,0,0,1,0,1,0,0,0,0,0,T
"Dragon Sinker",0,0,1,0,0,0,0,0,0,0,0,ET
"Dragon Sinker: Descendants of Legend",0,0,1,0,0,0,0,0,0,0,0,ET
"Dragon Star Varnir",0,0,0,0,0,0,0,0,0,0,0,T
"Dragonfly Chronicles",0,0,0,0,0,0,0,0,0,0,0,T
"Dragons Crown Pro",0,0,0,0,0,0,0,0,0,0,0,T
"Dragons Lair Trilogy",0,0,0,1,0,0,0,0,0,0,0,T
Dragooned,0,0,0,0,0,0,0,0,0,0,0,T
"Dream Angling",0,0,0,0,0,0,0,0,0,0,0,E
"Dream Daddy: A Dad Dating Simulator",0,0,0,0,0,0,0,0,0,0,0,T
"Dream Match Tennis VR",0,0,0,0,0,0,0,0,0,0,0,E
Dreambreak,0,0,0,0,0,0,0,0,0,0,0,T
Dreams,0,0,1,0,0,0,0,0,0,0,0,T
"DreamWorks Dragons Dawn of New Riders",0,0,1,0,0,0,0,0,0,0,0,ET
"Drift Zone",0,0,0,0,0,0,0,0,0,0,0,E
"Drive On Moscow",0,0,1,0,0,0,0,0,0,0,0,ET
"Drunkn Bar Fight",0,0,0,0,0,0,0,0,0,0,0,M
"Duck Game",1,0,1,0,0,0,0,0,0,0,0,ET
"Dungeon of the Endless",0,0,1,0,0,0,1,0,0,0,0,T
"Dungeon Rushers",0,0,1,0,0,0,0,0,1,0,0,ET
"Dungeons 3",0,0,0,0,0,0,0,0,1,0,1,T
Dungreed,1,0,0,1,0,1,0,0,0,0,0,ET
"Dusk Diver",0,0,1,0,0,0,1,0,0,0,0,T
"Dust: An Elysian Tail",0,0,1,0,0,0,0,0,0,0,0,ET
"Dustoff Heli Rescue 2",0,0,1,0,0,0,0,0,0,0,0,ET
"Dusty Raging Fist",0,0,0,0,0,0,0,0,0,0,0,T
DWVR,0,0,0,0,0,0,0,0,0,0,0,T
"Dying Light: The Following - Enhanced Edition",0,0,0,1,0,0,0,0,0,0,0,M
"Dynasty Feud",1,0,1,0,0,0,0,0,0,0,0,ET
"Dynasty Warriors 9 Special Scenario Edition",1,0,0,0,0,0,0,0,0,0,0,T
"Dynasty Warriors 9 Special Weapon Edition ",1,0,0,0,0,0,0,0,0,0,0,T
"Dynasty WarriorsÂ® 9",1,0,0,0,0,0,0,0,0,0,0,T
"EA Sports UFC3",0,0,0,0,0,0,0,0,0,0,0,T
"EA SPORTSâ„¢ FIFA 21 Ã‰DITION NXT LVL",0,0,0,0,0,0,0,0,0,0,0,E
"EA SPORTSâ„¢ FIFA 21 NXT LEVEL EDITION",0,0,0,0,0,0,0,0,0,0,0,E
"EA SPORTSâ„¢ MADDEN NFL 21 Ã‰DITION NXT LVL",0,0,0,0,0,0,0,0,0,0,0,E
"EA SPORTSâ„¢ MADDEN NFL 21 NXT LEVEL EDITION",0,0,0,0,0,0,0,0,0,0,0,E
"Earth Atlantis",0,0,0,0,1,0,0,0,0,0,0,E
"EARTH DEFENSE FORCE 4.1 WING DIVER THE SHOOTER",0,0,0,1,0,0,0,0,0,0,0,T
"Earth Defense Force 5",0,0,0,0,0,0,0,0,0,0,0,T
Earthfall,0,0,0,0,0,0,0,0,0,0,0,T
EARTHLOCK,0,0,1,0,0,0,0,0,0,0,0,ET
EarthNight,0,0,1,0,0,0,0,0,0,0,0,ET
ECHO,0,0,0,0,0,0,0,0,0,0,0,M
Effie,1,0,0,1,0,0,0,0,0,0,0,ET
"eFootball PES 2020",0,0,0,0,0,0,0,0,0,0,0,E
"eFootball PES 2021 Season Update",0,0,0,0,0,0,0,0,0,0,0,E
Electronauts,0,0,0,0,0,0,0,0,0,0,0,E
"Elliot Quest",0,0,1,0,0,0,0,0,0,0,0,ET
"Emily Wants to Play Too",0,0,0,0,0,0,1,0,0,0,0,T
"Empire of Sin",1,0,0,0,0,0,0,0,0,0,0,M
"Energy Invasion",0,0,0,0,0,0,0,0,0,0,0,E
"Enter the Gungeon ",0,0,0,1,0,0,0,0,0,0,0,T
"Epic Dumpster Bear",0,0,0,0,0,0,0,0,0,0,0,ET
"Escape Game Fort Boyard",0,0,0,0,0,0,1,0,0,0,0,ET
"Escape Goat 2",0,0,0,0,1,0,0,0,0,0,0,E
ESPER,0,0,0,0,0,0,0,0,0,0,0,ET
Etherborn,0,0,0,0,0,0,0,0,0,0,0,E
Evasion,0,0,0,0,0,0,0,0,0,0,0,T
"EVEREST VR",1,0,0,0,0,0,0,0,0,0,0,E
"Everspace: Stellar Edition",0,0,0,1,0,0,1,1,0,0,0,T
"EVERSPACEâ„¢ - Encounters",0,0,0,0,0,0,0,0,0,0,0,T
"EVERSPACEâ„¢ Galactic Edition",0,0,0,1,0,0,1,1,0,0,0,T
"Everybodys Golf VR",0,0,0,0,0,0,0,0,0,0,0,E
"Evoland Legendary Edition",0,0,1,0,0,0,0,0,1,0,0,ET
"Exiles End",0,0,0,0,0,0,0,0,0,0,0,T
Expand,0,0,0,0,0,0,0,0,0,0,0,E
Extinction,0,0,0,0,0,0,0,0,0,0,0,M
"F1 2018",0,0,0,0,0,0,0,0,0,0,0,E
"F1 2019",0,0,0,0,0,0,0,0,0,0,0,E
"F1 2020",0,0,0,0,0,0,0,0,0,0,0,E
"F1 2020 Deluxe Schumacher Edition",0,0,0,0,0,0,0,0,0,0,0,E
"Factotum 90",0,0,0,0,0,0,0,0,0,0,0,E
"Fade to Silence",0,0,0,0,0,0,0,0,0,0,0,M
"FAIRY TAIL",1,0,0,1,0,0,0,0,1,0,0,T
"Fall Guys",0,0,0,0,0,1,0,0,0,0,0,E
"Fall of Light ",0,0,0,0,0,0,0,0,0,0,0,T
"Fallen A2P Protocol",0,0,0,0,0,0,0,0,0,0,0,M
"Fallen Legion: Flames of Rebellion",0,0,1,0,0,0,0,0,0,0,0,ET
"Fallen Legion: Sins of an Empire",0,0,1,0,0,0,0,0,0,0,0,ET
"Fallout 76 Wastelanders",0,0,0,0,0,0,0,1,0,0,0,M
"Fallout 76: Steel Dawn",0,0,0,0,0,0,0,1,0,0,0,M
"Fallout Shelter",1,0,0,0,0,0,0,0,1,0,0,T
"Family Feud",0,0,0,0,0,0,0,0,0,0,0,E
"Far Cry 3 Classic Edition",0,0,0,1,0,0,0,0,0,0,1,M
"Far Cry 5",0,0,0,1,0,0,0,0,0,0,0,M
"Far Cry New Dawn",0,0,0,0,0,0,0,0,0,0,1,M
"Far from Noise",0,0,0,0,0,0,0,0,0,0,0,T
"Farmers Dynasty",1,0,0,0,0,0,0,0,0,0,0,E
"Farming Simulator 15",0,0,0,0,0,0,0,0,0,0,0,E
"Farming Simulator 19",0,0,0,0,0,0,0,0,0,0,0,E
"Fast & Furious: Crossroads",0,0,0,0,0,0,1,0,0,0,0,T
"Fast Striker",0,0,0,0,1,0,0,0,0,0,0,E
"FATAL FURYâ„¢ BATTLE ARCHIVES VOL.2",0,0,0,0,0,0,0,0,0,0,0,T
"Fate/EXTELLA LINK",0,0,1,0,0,0,0,0,0,0,0,T
"fault - milestone one",0,0,0,0,0,0,0,0,0,1,1,T
Fe,0,0,0,0,1,0,0,0,0,0,0,E
"Fear Effect Sedna",0,0,0,0,0,0,0,0,0,0,0,M
"Feral Fury ",0,0,0,0,0,0,0,0,0,0,0,T
"Fernz Gate",0,0,1,0,0,0,0,0,0,0,0,ET
"FIFA 18",0,0,0,0,0,0,0,0,0,0,0,E
"FIFA 19",0,0,0,0,0,0,0,0,0,0,0,E
"FIFA 20",0,0,0,0,0,0,0,0,0,0,0,E
"FIFA 21",0,0,0,0,0,0,0,0,0,0,0,E
"FIGHTING EX LAYER",0,0,0,0,0,0,0,0,0,0,1,T
"Fill-a-Pix: Phils Epic Adventure",0,0,0,0,0,0,0,0,0,0,0,E
"FINAL FANTASY IX",0,0,0,0,0,0,0,0,0,0,1,T
"FINAL FANTASY VII Remake",0,0,0,0,0,0,0,0,0,0,0,T
"FINAL FANTASY XV POCKET EDITION HD",0,0,1,0,0,0,0,0,0,0,0,T
"FINAL FANTASY XV ROYAL EDITION",0,0,0,0,0,0,0,0,0,0,0,T
"Fire Pro Wrestling World",0,0,0,0,0,0,0,1,0,0,0,T
"Firefighters: Airport Fire Department",0,0,0,0,0,0,0,0,0,0,0,E
"Firefighters: Plant Fire Department",0,0,0,0,0,0,1,0,0,0,0,E
"Firewall: Zero Hour",0,0,0,0,0,0,0,0,0,0,0,T
"Fishing Master",0,0,0,0,0,0,0,0,0,0,0,E
"Fishing Planet",0,0,0,0,0,0,0,0,0,0,0,E
"Fishing Sim World",0,0,0,0,0,0,0,0,0,0,0,E
"Fishing Sim World: Bass Pro Shops Edition",0,0,0,0,0,0,0,0,0,0,0,E
"Fishing Sim World: Pro Tour Collectors Edition",0,0,0,0,0,0,0,0,0,0,0,E
"Fist of the North Star: Lost Paradise",0,0,0,1,0,0,0,0,0,0,1,M
"FIVE NIGHTS AT FREDDS: HELP WANTED",0,0,1,0,0,0,0,0,0,0,0,T
"Five Nights at Freddys VR: Help Wanted",0,0,1,0,0,0,0,0,0,0,0,T
"Five Nights at Freddys: Core Collection",0,0,1,0,0,0,0,0,0,0,0,T
"Five Nights at Freddys: Help Wanted",0,0,1,0,0,0,0,0,0,0,0,T
Flashback,0,0,1,0,0,0,0,0,0,0,0,ET
"Flight of Light",0,0,0,0,0,0,0,0,0,0,0,E
"Flipping Death",0,0,1,0,0,0,0,0,0,0,0,T
"Flipys Tesla! Lets invent the future",0,0,0,0,0,0,0,0,0,0,0,E
"Floor Kids",0,0,0,0,0,0,0,0,0,0,0,E
"Floor Plan",0,0,1,0,0,0,0,0,0,0,0,ET
"Flynn and Freckles",0,0,1,0,0,0,0,0,0,0,0,ET
"Football Nation VR 2018",0,0,0,0,0,0,0,0,0,0,0,E
"For Honor: Marching Fire Edition",0,0,0,1,0,0,0,0,0,0,0,M
"For The King",0,0,0,1,0,0,0,0,0,0,0,T
Forager,0,0,0,1,0,1,0,0,0,0,0,ET
"Forgotton Anne",0,0,1,0,0,0,0,0,0,0,0,ET
"FORGOTTON ANNE",0,0,1,0,0,0,0,0,0,0,0,ET
forma.8,0,0,1,0,0,0,0,0,0,0,0,ET
"Fort Defense",1,0,0,1,0,0,0,0,0,0,0,ET
Fortnite,0,0,0,0,0,0,0,0,0,0,1,T
"Fortnite - The Last Laugh Bundle",0,0,0,0,0,0,0,0,0,0,1,T
"Fortnite: Darkfire Bundle",0,0,0,0,0,0,0,0,0,0,1,T
"Fossil Hunters",0,0,0,0,1,0,0,0,0,0,0,E
"FOX N FORESTS",0,0,1,0,0,0,0,0,0,0,0,ET
"Frane: Dragons Odyssey",0,0,0,1,0,0,0,0,0,0,0,T
Frantics,0,0,0,0,0,1,0,0,0,0,0,E
"Freedom Finger",0,0,1,0,1,0,0,0,0,0,0,M
"Freedom Planet",0,0,1,0,0,0,0,0,0,0,0,ET
"Friday the 13th: The Game ",0,0,0,1,0,0,0,0,0,0,1,M
"Friday the 13th: The Game Ultimate Slasher Edition",0,0,0,1,0,0,0,0,0,0,0,M
"Frost ",0,0,0,0,0,0,0,0,0,0,0,T
Frostpunk,0,0,0,0,0,0,0,0,0,0,0,M
"Frutakia 2",0,0,0,0,0,0,0,0,0,0,0,E
FullBlast,0,0,0,0,0,0,0,0,0,0,0,ET
Fuser,0,0,0,0,0,0,1,0,0,0,0,T
"Future Unfolding",0,0,0,0,1,0,0,0,0,0,0,E
"Fuun Super Combo",0,0,0,0,0,0,0,0,0,0,0,T
"G.I. Joe: Operation Blackout",0,0,0,0,0,0,0,0,0,0,0,T
"Gal*Gun 2 ",0,0,0,0,0,0,0,0,0,0,0,M
"GAL*GUNVOLT BURST",0,0,0,0,1,0,0,0,0,0,0,E
GALAK-Z,0,0,1,0,0,0,0,0,0,0,0,ET
"GALAK-Z: The Void",0,0,1,0,0,0,0,0,0,0,0,ET
"Game Tengoku CruisinMix",0,0,1,0,0,0,0,0,0,0,0,T
"Game Tengoku CruisinMix Special",0,0,1,0,0,0,0,0,0,0,0,T
"Gang Beasts",0,0,1,0,0,0,0,0,0,0,0,ET
"Garfield Kart: Furious Racing",0,0,0,0,0,0,0,0,0,0,0,E
"GAROU: MARK OF THE WOLVESâ„¢",0,0,0,0,0,0,0,0,0,0,0,T
"Gate Of Doom",0,0,1,0,0,0,0,0,0,0,0,ET
"Gekido Kintaros Revenge",0,0,0,0,0,0,0,0,0,0,0,T
"Gene Rain",0,0,0,0,0,0,0,0,0,0,0,M
"Generation Zero",0,0,0,0,0,0,0,0,0,0,0,T
"Genesis Alpha One",0,0,0,0,0,0,0,0,0,0,0,M
"Get Over Here",0,0,1,0,0,0,0,0,0,1,0,T
"Ghost 1.0",0,0,1,0,0,0,0,0,0,0,0,ET
"Ghost Giant",0,0,0,0,0,0,0,0,0,0,0,E
"Ghost of a Tale",1,0,0,0,0,0,0,1,0,0,0,ET
"Ghost of Tsushima",0,0,0,1,0,0,0,0,0,0,0,M
"Ghost Parade",0,0,0,1,0,0,0,0,0,0,0,ET
"Ghostbusters: The Video Game Remastered",0,0,1,0,0,0,1,0,0,0,0,T
"Ghosts In The Toybox: Chapter 1",0,0,1,0,0,0,0,0,0,0,0,ET
"GIGA WRECKER ALT",0,0,0,1,0,0,0,0,0,0,0,T
"Gigantosaurus The Game ",0,0,0,0,0,1,0,0,0,0,0,E
"Giraffe and Annika",1,0,0,0,0,0,0,0,0,0,0,E
"Glass Masquerade",0,0,0,0,0,0,0,0,0,0,0,E
"Gnomes Garden 2",0,0,0,0,0,0,0,0,0,0,0,E
"Gnomes Garden 3: The thief of castles",0,0,0,0,0,0,0,0,0,0,0,E
"Gnomes Garden New Home",0,0,0,0,0,0,0,0,0,0,0,E
"GOD EATER 3",0,0,0,0,0,0,0,0,0,0,0,T
"God of War",0,0,0,1,0,0,0,0,0,0,0,M
"Golden Force",0,0,0,1,0,0,0,0,0,0,0,M
Golem,0,0,0,0,0,0,0,0,0,0,1,T
"Golf With Your Friends",0,0,0,0,0,0,0,0,0,0,0,ET
GoNNER,0,0,0,1,0,0,0,0,0,0,0,ET
"Google Tilt Brush",0,0,0,0,0,0,0,0,0,0,0,T
"Goosebumps Dead of Night",0,0,1,0,0,0,0,0,0,0,0,ET
GORN,0,0,0,1,0,0,0,0,0,0,0,M
Gorogoa,0,0,0,0,0,0,0,0,0,0,0,E
"Gotcha Racing 2nd",0,0,0,0,0,0,0,0,0,0,0,E
"Grab the Bottle",0,0,0,0,0,0,0,0,0,0,0,E
"Granblue Fantasy: Versus",0,0,0,0,0,0,0,0,0,0,0,T
"Grand Theft Auto V",0,0,0,1,0,0,0,0,1,0,0,M
"Grave Danger",0,0,1,0,0,0,0,0,0,0,0,ET
Gravel,0,0,0,0,0,0,0,0,0,0,0,E
"Graveyard Keeper",0,0,1,0,0,0,0,0,1,0,0,T
"Gravity Ghost: Deluxe Edition",0,0,0,0,0,0,1,0,0,0,0,ET
Greedfall,0,0,0,0,0,0,0,0,0,0,0,M
GRID,0,0,0,0,0,0,0,0,0,0,0,E
"Grim Fandango Remastered",0,0,0,1,0,0,0,0,0,0,0,T
"Grim Legends 3: The Dark City",0,0,0,0,0,0,0,0,0,0,1,T
GRIP,0,0,1,0,0,0,0,0,0,0,0,ET
GRIS,0,0,0,0,0,0,0,0,0,0,0,E
"Growtopia ",0,0,1,0,0,0,0,0,0,0,0,ET
"Guacamelee! 2",1,0,0,1,0,0,0,0,0,0,0,ET
"Guacamelee! One-Two Punch Collection",0,0,1,0,0,0,0,0,0,0,0,ET
"Guilt Battle Arena",0,0,1,0,0,0,0,0,0,0,0,ET
"Gunducky Industries",0,0,1,0,0,0,0,0,0,0,0,ET
"GUNGRAVE VR",0,0,0,0,0,0,0,0,0,0,0,T
"GUNGRAVE VR U.N",0,0,0,0,0,0,0,0,0,0,0,T
Gunhouse,0,0,1,0,0,0,0,0,0,0,0,ET
"Guns Gore and Cannoli 2",0,0,0,0,0,0,0,0,0,0,0,T
"Guns of Icarus Alliance",0,0,1,0,0,0,0,0,0,0,0,T
"Gunvolt Chronicles: Luminous Avenger iX",0,0,0,1,0,0,0,0,0,0,0,T
"Guts and Glory",0,0,0,0,0,0,0,0,0,0,0,M
"H1Z1: Battle Royale",0,0,0,0,0,0,0,0,0,0,0,T
HackyZack,0,0,0,0,0,0,0,0,0,0,0,E
Haimrik,0,0,0,0,0,0,0,0,0,0,0,M
HAJWALA,0,0,0,0,0,0,0,0,0,0,0,E
"Halloween Forever",0,0,0,1,0,1,0,0,0,0,0,ET
Hammerwatch,0,0,0,1,0,0,0,0,0,0,0,T
"Hand of Fate 2",1,0,0,0,0,0,0,0,0,0,0,T
"Hand of the Gods: SMITE Tactics",0,0,0,0,0,0,0,0,0,0,1,T
"Happy Drummer",0,0,0,0,0,0,0,0,0,0,0,E
"Happy Drummer VR",0,0,0,0,0,0,0,0,0,0,0,E
"Harvest Moon: Light of Hope Special Edition",0,0,0,0,0,0,0,0,0,0,0,E
"Harvest Moon: Mad Dash",0,0,0,0,0,0,0,0,0,0,0,E
"Harvest Moon: One World",0,0,0,0,0,0,0,0,0,0,0,E
"Haunted Dungeons "Hyakki Castle"",0,0,0,0,0,0,0,0,0,0,0,T
Headlander,0,0,1,0,0,0,0,0,0,0,0,T
"Heavy Fire: Red Shadow",0,0,0,0,0,0,0,0,0,0,0,T
"Hell Warders",0,0,0,0,0,0,1,0,0,0,0,T
"Hellblade: Senuas Sacrifice",0,0,0,1,0,0,0,0,0,0,0,M
"Hellmut - The Badass From Hell TM",0,0,0,0,0,0,0,0,0,0,0,T
"Hello Neighbor",0,0,0,0,0,0,1,0,0,0,0,ET
"Hello Neighbor: Hide and Seek",0,0,0,0,0,0,1,0,0,0,0,T
Hellpoint,0,0,0,0,0,0,0,0,0,0,0,M
"Hero Defense",0,0,1,0,0,0,0,0,0,0,0,ET
"Hero Must Die. again",0,0,1,0,0,0,0,0,0,0,0,T
"Heroine Anthem Zero Episode 1",0,0,0,0,0,0,0,0,0,0,0,T
Heroland,0,0,1,0,0,0,0,0,0,0,0,T
"Heroland - Knowble Edition",0,0,1,0,0,0,0,0,0,0,0,T
"Hex Tunnel",0,0,0,0,0,0,0,0,0,0,0,E
"Hex Tunnel Touch",0,0,0,0,0,0,0,0,0,0,0,E
"HEX: Card Clash",0,0,0,0,0,0,0,1,0,0,0,T
"Hidden Agenda",0,0,1,0,0,0,0,0,0,0,0,M
"Hidden Dragon Legend",0,0,0,0,0,0,0,0,0,0,0,M
"HITMAN 2",0,0,0,1,0,0,0,0,0,0,0,M
"HITMAN 2: Free Starter Pack",0,0,1,1,0,0,0,0,0,0,0,M
"HITMAN 3",0,0,1,1,0,0,0,0,0,0,0,M
"Hitman: Definitive Edition",0,0,0,0,0,0,0,0,0,0,0,M
"Hitman: Game of the Year Edition",0,0,0,0,0,0,0,0,0,0,0,M
"HIVE: Altenum Wars",0,0,0,0,0,0,0,0,0,0,0,T
Hob,0,0,0,1,0,0,0,0,0,0,0,T
"Hollow Knight",0,0,1,0,0,0,0,0,0,0,0,ET
"Holy Potatoes! Compendium",1,0,1,0,0,0,0,0,0,0,0,ET
Home,1,0,0,0,0,0,0,0,0,0,0,T
"Home Run Derby VR",0,0,0,0,0,0,0,0,0,0,0,E
"Home Sweet Home",0,0,0,0,0,0,0,0,0,0,0,M
"HomeStarVR for PlayStationVR",1,0,0,0,0,0,0,0,0,0,0,E
"Honor and Duty: D-Day",0,0,0,0,0,0,0,0,0,0,0,T
"Hopalong: The Badlands",0,0,0,0,0,0,0,0,0,0,1,T
"Horizon Chase Turbo",0,0,0,0,0,0,0,0,0,0,0,E
"Hotel Transylvania 3 Monsters Overboard",0,0,1,0,0,0,0,0,0,0,0,ET
